2951,3669,3754,3708,3419,3699,3149,3200,3025,2771,2612,2731
2952,3666,3755,3708,3423,3697,3141,3201,3024,2775,2611,2732
2954,3673,3755,3707,3432,3697,3152,3204,3024,2774,2611,2735
2952,3668,3760,3705,3426,3700,3148,3200,3024,2773,2610,2738
2952,3666,3749,3706,3430,3699,3146,3201,3024,2775,2616,2734
2951,3662,3754,3708,3428,3708,3145,3200,3020,2770,2612,2730
2954,3668,3753,3706,3427,3701,3143,3200,3023,2771,2612,2733
2955,3676,3751,3707,3431,3690,3146,3204,3024,2772,2609,2733
2952,3671,3756,3705,3425,3696,3145,3200,3023,2772,2613,2732
2954,3664,3753,3704,3424,3695,3148,3201,3021,2775,2611,2735
2949,3663,3754,3704,3426,3697,3148,3200,3021,2770,2609,2730
2949,3662,3752,3708,3423,3703,3148,3200,3021,2770,2613,2730
2956,3668,3760,3712,3426,3700,3147,3200,3024,2773,2616,2734
2952,3672,3756,3703,3425,3698,3148,3204,3024,2772,2609,2732
2954,3672,3756,3699,3428,3704,3143,3200,3024,2772,2611,2731
2945,3662,3754,3708,3425,3693,3149,3200,3021,2770,2609,2730
2952,3668,3754,3702,3432,3697,3148,3200,3023,2774,2610,2733
2953,3656,3754,3704,3426,3699,3153,3200,3024,2772,2610,2734
2945,3668,3753,3704,3424,3697,3146,3201,3021,2775,2612,2732
2948,3666,3753,3708,3426,3697,3148,3200,3020,2772,2610,2727
2952,3674,3753,3706,3432,3699,3156,3197,3020,2773,2608,2731
2949,3662,3752,3706,3426,3703,3147,3200,3021,2770,2609,2730
2947,3666,3760,3705,3431,3697,3146,3200,3022,2772,2610,2734
2949,3668,3758,3705,3430,3696,3145,3201,3022,2772,2607,2734
2951,3672,3751,3708,3427,3699,3148,3200,3022,2774,2611,2732
2949,3672,3758,3705,3431,3700,3146,3200,3022,2769,2609,2727
2952,3666,3752,3706,3426,3697,3152,3197,3022,2773,2608,2732
2949,3666,3749,3706,3424,3699,3146,3201,3022,2770,2611,2732
2948,3668,3753,3705,3430,3697,3147,3199,3021,2765,2610,2731
2949,3662,3754,3706,3427,3704,3145,3198,3021,2770,2609,2728
2952,3666,3753,3707,3423,3695,3143,3195,3020,2773,2610,2732
2952,3672,3755,3705,3425,3698,3145,3200,3016,2768,2609,2727
2950,3671,3751,3705,3432,3696,3150,3200,3022,2773,2610,2730
2949,3672,3758,3704,3432,3698,3144,3200,3022,2773,2607,2732
2954,3666,3747,3707,3426,3702,3151,3199,3019,2773,2609,2732
2949,3666,3751,3706,3424,3696,3152,3194,3022,2772,2607,2732
2947,3668,3758,3705,3431,3697,3146,3198,3019,2769,2607,2732
2949,3659,3753,3699,3428,3702,3145,3200,3021,2770,2609,2730
